county,tract,total_commute,auto,bus,subway_rail,taxi,walk_other,total_drive,veh_occ
Bronx,036100,1804,0.207,0.635,0.0,0.051,0.107,373,1.05
Bronx,036501,1399,0.259,0.664,0.004,0.02,0.053,363,1.13
Bronx,022403,1341,0.184,0.724,0.051,0.0,0.041,247,1.04
Bronx,023703,1839,0.099,0.81,0.0,0.0,0.091,182,1.27
Bronx,024501,1617,0.292,0.595,0.033,0.0,0.08,472,1.15
Bronx,024502,1425,0.123,0.616,0.052,0.062,0.147,175,1.04
Bronx,022404,2230,0.306,0.61,0.022,0.016,0.046,683,1.03
Bronx,023704,1031,0.156,0.773,0.0,0.0,0.071,161,1.0
Bronx,026701,1750,0.175,0.699,0.039,0.014,0.073,307,1.1
Bronx,026702,3221,0.251,0.599,0.0,0.004,0.146,807,1.12
